relative_path,kind,source_key,rows,columns,notes
derived/items.csv,normalized-table,ge-item-pages,5665,68,"one row per {{Infobox Item}} call; 1087 rows carry patch_introduced, 2593 carry removed_before_arr"
derived/mobs.csv,normalized-table,ge-mob-pages,824,27,"one row per {{Infobox Mob}} call; 72 families, 106 notorious_monster rows, 0 removed_before_arr rows"
derived/mob-locations.csv,normalized-table,ge-mob-pages,1501,8,"one row per {{Mob Row}} sighting; 51 zones, 822 distinct mobs"
derived/mob-families.csv,normalized-table,ge-mob-family-pages,52,16,"one row per {{Infobox Mob Family}} call on a Category: page; the defaults mob rows override - 41 carry behavior_flags, 22 element, 16 elemental_weakness, all 52 a superfamily"
tools/mine_gamerescape.py,retired-generator,,,,"retired from tools/; formerly regenerated all four CSVs from the local-only GE wikitext corpus (--corpus, --check); kept as provenance"
derived/client-column-map.csv,derived-analysis,ge-item-pages,299,15,"one row per client item-table column or bonus-slot id; 16 named from GE, 120 from the client paramName table, 37 HQ bonus rows, 25 set-bonus rows, 25 via a +1000000 offset, 30 from client structure, 28 slot machinery, 18 dead in 1.23b, none unidentified"
derived/client-column-map-notes.md,derived-analysis,ge-item-pages,,,"method, confidence bands and per-column verdicts for client-column-map.csv"
derived/materia-column-map.csv,derived-analysis,ge-item-pages,80,8,"one row per materia.csv column; 69 named from client structure or GE meld_slots, 11 secondary-tool booleans indistinguishable and labelled by position only"
derived/materia-decoded.csv,derived-analysis,ge-item-pages,66,12,"one row per materia line: 4 grade item ids and names, primary and optional second parameter with 16 magnitudes each as 4 grades x 4 ranks, 4 grade icons, meld targets"
derived/materia-notes.md,derived-analysis,ge-item-pages,,,"method and gaps for the materia decode; itemData.140 is its key, itemData.65 the catalyst, materiaBook.csv and populaceShopMateriaRemover.csv the rules, populaceGuildShop.csv 56 line names"
derived/ge-items-without-client-row.csv,derived-analysis,ge-item-pages,54,7,"GE item pages with no name match in the 1.23b client tables, with likely_cause"
derived/client-items-without-ge-page.csv,derived-analysis,ge-item-pages,2793,4,"client item ids with no GE page; 934 have no English name and are unjoinable"
tools/map_client_columns.py,retired-generator,,,,"retired from tools/; formerly regenerated the client column map and both mismatch lists (--client-dir, --verify); kept as provenance"
derived/mob-client-crosscheck.csv,derived-analysis,ge-mob-pages,812,21,"GE mob to client actor-class id and the monster race that id encodes, with the GE stats the client does not carry; client_plural is the English plural from xtx_displayName column 3, hand-written inflection including irregulars such as Ala Mhigan axemen; spawn_container decodes the actor id band digit as persistent, leve-or-quest or instanced-dungeon; client_leve is the leve the client's own xtx_guildleve briefing text names the mob in, 66 rows, the only leve statement here that is not an interpolation, and client_proper_name says which kind it is - a briefing naming an individual agrees with GE on 11 of 11, one using a species word on 22 of 26; client_quest is its quest-side twin, read from the client's regional journal sheets, 115 mobs attributed and 24 of 25 agreeing with GE's quest pages"
derived/mob-client-crosscheck-notes.md,derived-analysis,ge-mob-pages,,,"why there is no mob column map, the roster reconciliation, and the family-taxonomy mismatch"
derived/ge-mobs-without-client-actor.csv,derived-analysis,ge-mob-pages,12,8,"GE mobs with no client actor; 8 are GE misspellings the client contradicts"
derived/client-mobs-without-ge-page.csv,derived-analysis,ge-mob-pages,468,9,"monster-range client display names with no GE mob page, out of 1277 distinct names so GE covers 63%; likely_cause triages them into 8 classes and only 270 are ordinary GE gaps; 10 are named boss-tier actors whose siblings GE documents, 34 are named only after their species"
derived/mob-family-crosscheck.csv,derived-analysis,ge-mob-pages,161,8,"GE family roster vs the client's 89 internal monster races, both directions; evidence_counterpart is the race-id pairing and is the one to trust, counterpart is name matching only"
derived/mob-race-crosscheck.csv,derived-analysis,ge-mob-pages,82,6,"every client-race-to-GE-family pairing witnessed by the race id embedded in mob actor ids; 78 races over 699 mobs at 0.9943 purity, keyed by race id because two races are both Crab"
derived/mob-name-id-transpositions.csv,derived-analysis,ge-mob-pages,26,10,"the 26 mob actor pairs that hold each other's parallel display-name row, so deriving a name by turning the actor id's leading 2 into a 3 returns a different mob's name rather than failing; variant distance is only ever 1, 2 or 4, 6 of the pairs are race 1002 reordering a block, and one pair displays kobold either way so it has no observable effect; facts only, no taxonomy column - every pair is within one race and one band, which is the only relation the client asserts, and a string test relates the names of just 8 of the 26"
derived/mob-race-blocks.csv,derived-analysis,ge-mob-pages,9,6,"the 9 race-field values xtx_monsterRace does not cover, 567 monster-range actors; mostly a faction namespace no client table names, plus 1900 friendly combat NPCs, 1110 the missing race Atomos and 1910 humanoids named at runtime; humanoid_actors counts the appearance run that no monster race uses"
derived/mob-behavior-resolved.csv,derived-analysis,ge-mob-pages,824,9,"each mob's behavior flags resolved across GE's three tiers by its own precedence; 780 resolved, 2 marked sighting-conflict, with the per-code gloss"
derived/mob-gap-brackets.csv,derived-analysis,ge-mob-pages,270,20,"level and zone hints for the 270 ge-gap names, interpolated from each name's documented actor-id neighbours; the hint is right about half the time and beats a random same-race pair by 12 points, so it is a retail-observation target list and not evidence; name_relation says how the name sits against documented siblings of its own race; bracket_basis says why the 48 unbracketed rows are blank and race_run_position measures where the actor sits in its race id run, which is where GE coverage thins; band_level_floor is the one strong hint - a 23-band actor id means level 35 or above on all 45 documented mobs that have one, and band_zone_hint places it in one of the four dungeons the band turns out to be, at 0.828 accuracy from 2 candidates; spawn_container reads the band digit as a spawn container - 169 of the 270 hold a band-22 actor and are guildleve or quest content, which is a statement about the kind of content and not about the level; leve_candidates names the leve a band-22 name likely belongs to, flanked from its nearest tagged band-22 race-mates at 0.516 accuracy from 2 candidates against a 0.319 random-pair null, filled on 117 of the 169; leve_one_sided is the weaker single-neighbour form at 0.238 against 0.177, kept in its own column so the two are never mixed, and leve_basis says why a row has one and not the other; client_leve outranks both - it is the leve the client's own briefing text names the mob in, 19 rows; client_quest does the same from the client's quest journal text, 16 rows"
derived/npcs.csv,derived-mine,ge-npc-pages,1333,16,"one row per Infobox NPC call; race clan gender occupation affiliation zones coordinates and shop inventory for 1,311 distinct 1.0 NPCs, none of which any client sheet carries; the best-dated GE material here, 263 pages last edited in 2010 and none after 2012; Dialogue Notes Biography excluded as verbatim prose"
derived/npc-client-crosscheck.csv,derived-analysis,ge-npc-pages,1272,14,"GE NPCs joined to the client's non-mob actors, 93.8 percent; actor_id_prefixes is the finding - prefix 16 is the merchant space at 0.967 against 0.029 for the general 10 population"
derived/ge-npcs-without-client-actor.csv,derived-analysis,ge-npc-pages,61,7,"the 75 GE NPCs with no non-mob client actor, by cause: 34 mob-range-actor (14 rental chocobos and the 12 hamlet militia that corroborate the 1900 block, plus Bombard and Bombard King), 7 no-client-actor with a zone but no actor, 20 lore-figure with neither"
derived/mob-quest-attribution.csv,derived-analysis,ge-quest-pages,71,10,"the undocumented client mob names GE writes up inside a quest page instead of a mob page, with the quest and its revision; 35 are ge-gap, and this is the hardest attribution in the set because it names actual content; quest_level_floor is the quest Minimum Level, which floors the mob level on 0.898 of documented pairs and is the strongest level statement in the set; emitted when the name is multi-word or capitalised in the client and the cause is a mob at all, since lower-case one-word mentions are the species in prose and score 0.595; only the attribution is stored, never the walkthrough prose"
derived/mob-behavior-codes.csv,derived-analysis,ge-terminology-pages,8,6,"the 8 GE behavior codes with GE's own definition and a pinning revision id; 6 are used by 1.0 pages, TS and M are not"
tools/map_client_mobs.py,retired-generator,,,,"retired from tools/; formerly regenerated the mob crosscheck, both mob mismatch lists, the race pairing, the resolved behavior flags, the gap hints and the quest attribution (--client-dir, --corpus, --verify); kept as provenance"
derived/zone-client-crosscheck.csv,derived-analysis,ge-mob-pages,51,9,"each GE sighting-zone string classified against client zones, groups and place names, with bahamut zone ids"
derived/zone-client-crosscheck-notes.md,derived-analysis,ge-mob-pages,,,"zone classification results, the Coerthas resolution, and two findings against the external non-public bahamut/data/zones.json roster consulted at research time"
derived/client-zones-without-ge-sightings.csv,derived-analysis,ge-mob-pages,23,4,"client zones with no GE mob sighting; all non-combat wards, halls and water zones"
tools/map_client_zones.py,retired-generator,,,,"retired from tools/; formerly regenerated the zone crosscheck (--client-dir, --bahamut-zones); kept as provenance"
