category,npc,location,source_page
Battle,Atelloune,"Eastern La Noscea, Red Rooster Stead (36,25)",achievements-and-titles
Character,Rammbroes,"Eastern Thanalan, Golden Bazaar (38,19)",achievements-and-titles
Currency,Orrick,"Ul'dah Merchant Strip (5,3)",achievements-and-titles
Item,Terremiaux,"North Shroud, Hyrstmill (24,14)",achievements-and-titles
Synthesis,Dedeyadi,"Eastern Thanalan, Golden Bazaar (38,19)",achievements-and-titles
Gathering,Rebeccah,"Eastern Thanalan, Golden Bazaar (37,19)",achievements-and-titles
Materia,Alamenain,"Central Thanalan (29,20)",achievements-and-titles
Quests,Derwin,"Western Thanalan, Coffer & Coffin (9,27)",achievements-and-titles
Seasonal Events,Jonathas,"Western La Noscea, Aleport (12,24)",achievements-and-titles
Dungeons,Millith Ironheart,"South Shroud, Buscarron's Fold (35,43)",achievements-and-titles
Exploration,Nedrick Ironheart,"Coerthas Eastern Lowlands, Owl's Nest (63,34)",achievements-and-titles
Grand Company( * ),Storm Private Rhof,"Maelstrom Command, Limsa Lominsa Upper Decks (8,7)",achievements-and-titles
Grand Company( * ),Serpent Private Larke,"Adders' Nest, Gridania (4,4)",achievements-and-titles
Grand Company( * ),Flame Private Nonoku Noku,"Hall of Flames, Ul'dah Merchant Strip (4,4)",achievements-and-titles
