nm_jp,nm_en_client,nm_client_actor_id,nm_site_romaji,monster_family_jp,monster_family_en_client,region_en,zone_jp,zone_en_client,zone_client_place_id,location_detail_jp,habitat_raw,spawn_condition_jp,patch_implemented,remarks_jp,nm_en_note,zone_note,source
異言のアザブ・チャー,Voidtongue Ahzabb Chah,3106563,VoidtongueAhzabbChah,アマルジャ,Amlaj'aa,Thanalan,ザナラーン,Thanalan,103,"（X: 18, Y: 37）","ザナラーン（X: 18, Y: 37）",数分間隔,2011年10月5日実装（パッチ1.19）,（関連 : サブクエスト『盟主ルイゾワの秘策　（リムサ・ロミンサ）』）<br>（関連 : サブクエスト『盟主ルイゾワの秘策　（グリダニア）』）<br>（関連 : サブクエスト『盟主ルイゾワの秘策　（ウルダハ）』）,,,sources/elemen-bestiary/objects/pages/NM_Thanalan.md :: 異言のアザブ・チャー
エルダーモスホーン,Elder Mosshorn,3102311,ElderMosshorn,アルドゴート,Aldgoats,Thanalan,ザナラーン,Thanalan,103,"（X: 19～20, Y: 34～36）","ザナラーン（X: 19～20, Y: 34～36）",（エオルゼア時間）8時～20時の間,2010年12月16日実装（バージョンアップ (2010/12/16)）,モスホーン・ナニー2体とモスホーン・ビリー1体とPTを組んでいる。,,,sources/elemen-bestiary/objects/pages/NM_Thanalan.md :: エルダーモスホーン
炎拳のアリグ・ロー,Flamefist Ahlygg Roh,3106557,FlamefistAhlyggRoh,アマルジャ,Amlaj'aa,Thanalan,ザナラーン,Thanalan,103,"（X: 50, Y: 40）","ザナラーン（X: 50, Y: 40）",数分間隔,2011年10月5日実装（パッチ1.19）,（関連 : 攻略型フィールド『ザハラク戦陣』）,,,sources/elemen-bestiary/objects/pages/NM_Thanalan.md :: 炎拳のアリグ・ロー
カクタージャック,Cactuar Jack,3100913,CactuarJack,カクター,Sabotender,Thanalan,ザナラーン,Thanalan,103,"（X: 18, Y: 30）（パッチ1.18aでダディーロングレッグと場所変更）","ザナラーン（X: 18, Y: 30）（パッチ1.18aでダディーロングレッグと場所変更）",数分間隔,2011年4月15日実装（パッチ1.17）,,,,sources/elemen-bestiary/objects/pages/NM_Thanalan.md :: カクタージャック
ダディーロングレッグ,Daddy Longlegs,3105515,DaddyLonglegs,ヤーゾン,Yarzon,Thanalan,ザナラーン,Thanalan,103,"（X: 15～16, Y: 34～35）（パッチ1.18aでカクタージャックと場所変更）","ザナラーン（X: 15～16, Y: 34～35）（パッチ1.18aでカクタージャックと場所変更）",数分間隔,2011年4月15日実装（パッチ1.17）,,,,sources/elemen-bestiary/objects/pages/NM_Thanalan.md :: ダディーロングレッグ
弾指のココルン,Kokoroon Quickfingers,3106312,KokoroonQuickfingers,キキルン,Qiqirn,Thanalan,ナナワ銀山,Nanawa Mines,3101,"（X: 9, Y: 5）","ナナワ銀山（X: 9, Y: 5）",数分間隔,2011年4月15日実装（パッチ1.17）,,,,sources/elemen-bestiary/objects/pages/NM_Thanalan.md :: 弾指のココルン
ネストコマンダー,Nest Commander,3103009,NestCommander,アントリング,Antling,Thanalan,ザナラーン,Thanalan,103,"（X: 10～11, Y: 24）","ザナラーン（X: 10～11, Y: 24）",数分間隔,2011年4月15日実装（パッチ1.17）,,,,sources/elemen-bestiary/objects/pages/NM_Thanalan.md :: ネストコマンダー
バルディ,Bardi,3101415,Bardi,ウルフ,Wolf/Hyena/Hellhound,Thanalan,ナナワ銀山,Nanawa Mines,3101,"（X: 3, Y: 5）","ナナワ銀山（X: 3, Y: 5）",数分間隔,2011年4月15日実装（パッチ1.17）,,,,sources/elemen-bestiary/objects/pages/NM_Thanalan.md :: バルディ
ピュラウスタ,Pyrausta,3100117,Pyrausta,プーク,Puk,Thanalan,ザナラーン,Thanalan,103,"（X: 8, Y: 30～32）","ザナラーン（X: 8, Y: 30～32）",数分間隔,2011年4月15日実装（パッチ1.17）,,,,sources/elemen-bestiary/objects/pages/NM_Thanalan.md :: ピュラウスタ
アンノウンソルジャー,Unknown Soldier,3104323,UnknownSoldier,ゴースト,Ghost,La Noscea,浮海月の巌穴,Cassiopeia Hollow,1113,"（X: 9～10, Y: 5）","浮海月の巌穴（X: 9～10, Y: 5）",数分間隔,2011年4月15日実装（パッチ1.17）,頻繁にワープをしてターゲットが解除される。,,,sources/elemen-bestiary/objects/pages/NM_LaNoscea.md :: アンノウンソルジャー
オールドシックスアームズ,Old Six-Arms,3107616,OldSix-arms,メガロクラブ,GAP,La Noscea,ラノシア,La Noscea,102,"（X: 31～32, Y: 33）","ラノシア（X: 31～32, Y: 33）",数分間隔,2011年4月15日実装（パッチ1.17）,物理攻撃が効き難い。,,,sources/elemen-bestiary/objects/pages/NM_LaNoscea.md :: オールドシックスアームズ
グルタナスガーティ,Gluttonous Gertrude,3102012,GluttonousGertrude,ドードー,GAP,La Noscea,ラノシア,La Noscea,102,"（X: 31, Y: 32）","ラノシア（X: 31, Y: 32）",数分間隔,2011年4月15日実装（パッチ1.17）,,,,sources/elemen-bestiary/objects/pages/NM_LaNoscea.md :: グルタナスガーティ
