event_id,capture,lane_index,source_actor,destination_actor,classification,join_status,set_begin_frame,set_begin_subevent,set_end_frame,set_end_subevent,change_begin_frame,change_begin_subevent,change_end_frame,change_end_subevent,item_opcode,item_frame,item_subevent,item_record,catalog_item_id,item_slot,link_opcode,link_frame,link_subevent,link_record,equipment_slot,linked_item_slot,item_package_code,item_to_link_distance_frames,item_to_link_distance_subevents,item_to_link_distance_us,before_property_frame,before_distance_frames,before_distance_us,after_property_frame,after_distance_frames,after_distance_us,changed_property_count,repeated_aggregate_of,boundary_note
equipment-event-001,buy_square_maple_shield.pcapng,0,actor-01,actor-01,MISSING-CARRIER,no-equipment-link,37,1,37,6,37,0,37,7,,,,,,,,,,,,,,,,,,,,,,,0,,framed inventory set without an equipment-link carrier
equipment-event-002,change_bodyarmor.pcapng,0,actor-01,actor-01,BOUNDED-CANDIDATE,exact-same-event-item-link,19,1,19,6,19,0,19,7,0x0149,19,2,0,0x007A88D7,140,0x014D,19,4,0,10,140,0,0,2,0,13,6,2907,20,1,38,0,,"same-lane s2c order is correlation evidence, not causality"
equipment-event-003,change_helm.pcapng,0,actor-01,actor-01,MISSING-CARRIER,no-equipment-link,14,1,14,6,14,0,14,7,,,,,,,,,,,,,,,,,9,5,2874,16,2,236,0,,framed inventory set without an equipment-link carrier
equipment-event-004,change_helm.pcapng,0,actor-01,actor-01,EXACT-TRANSITION,exact-same-event-item-link,28,1,28,6,28,0,28,7,0x0148,28,2,0,0x007A3F58,113,0x014D,28,4,0,8,113,0,0,2,0,16,12,7037,30,2,243,1,,"same-lane s2c order is correlation evidence, not causality"
equipment-event-005,change_to_botanist.pcapng,0,actor-01,actor-01,BOUNDED-CANDIDATE,exact-same-event-item-link,21,1,21,6,21,0,21,7,0x0149,21,2,0,0x006B1DE2,4,0x014D,21,4,0,0,4,0,0,2,0,12,9,5018,23,2,93,0,,"same-lane s2c order is correlation evidence, not causality"
equipment-event-006,change_to_botanist.pcapng,0,actor-01,actor-01,BOUNDED-CANDIDATE,exact-same-event-item-link,34,1,34,6,34,0,34,7,0x0148,34,2,0,0x006B1E4C,16,0x014D,34,4,0,1,16,0,0,2,0,23,11,5931,36,2,109,0,,"same-lane s2c order is correlation evidence, not causality"
equipment-event-007,combat_autoattack.pcapng,0,actor-01,actor-01,MISSING-CARRIER,no-equipment-link,113,1,113,3,113,0,113,4,,,,,,,,,,,,,,,,,106,7,2478,118,5,341,1,,framed inventory set without an equipment-link carrier
equipment-event-008,combat_autoattack.pcapng,0,actor-01,actor-01,MISSING-CARRIER,no-equipment-link,113,6,113,8,113,5,113,9,,,,,,,,,,,,,,,,,106,7,2478,118,5,341,1,,framed inventory set without an equipment-link carrier
equipment-event-009,combat_autoattack.pcapng,0,actor-01,actor-01,MISSING-CARRIER,no-equipment-link,113,11,113,13,113,10,113,14,,,,,,,,,,,,,,,,,106,7,2478,118,5,341,1,,framed inventory set without an equipment-link carrier
equipment-event-010,combat_autoattack.pcapng,0,actor-01,actor-01,MISSING-CARRIER,no-equipment-link,113,16,113,18,113,15,113,19,,,,,,,,,,,,,,,,,106,7,2478,118,5,341,1,,framed inventory set without an equipment-link carrier
