client_display_name,actor_id_count,actor_ids,client_race_id,client_race_name,client_race_block,likely_cause,ge_npc_page,ge_npc_zones
****,1,2110601,1106,黒子,,placeholder,,
11th order patriarch gu bu,2,2206610 2206613,1066,Kobold,,ge-gap,,
59th order matriarch go zu,1,2206623,1066,Kobold,,ge-gap,,
???,11,2110101 2110102 2110103 2110104 2110105 2110106 2110107 2110108,1101,戦士 (仮),,placeholder,???,Mor Dhona
abacus slug,1,2304205,1042,Slug,,ge-gap,,
acid bomb,1,2201608,1016,Bomb,,ge-gap,,
aging archaeologist,1,2290051,1900,,"friendly NPCs that take part in combat, not monsters: hamlet militia, Grand Company scouts, story allies and escort targets; the ally side of the same content as 1800",not-a-monster,,
agitated aurelia,1,2205409,1054,Jellyfish,,ge-gap,,
ajattara,1,2200707,1007,Basilisk,,ge-gap,,
albin,1,2290042,1900,,"friendly NPCs that take part in combat, not monsters: hamlet militia, Grand Company scouts, story allies and escort targets; the ally side of the same content as 1800",not-a-monster,,
aloes rosetrap,1,2302705,1027,Flytrap,,ge-gap,,
alpha dreadwolf,1,2201422,1014,Wolf/Hyena/Hellhound,,ge-gap,,
alpha imp,1,2202609,1026,Imp,,ge-gap,,
amalj'aa,6,2206506 2206513 2206519 2206520 2206521 2206522,1065,Amlaj'aa,,race-name-only,,
amalj'aa archer,2,2106516 2206512,1065,Amlaj'aa,,ge-gap,,
amalj'aa augur,6,2106524 2106525 2106526 2106527 2106528 2206518,1065,Amlaj'aa,,ge-gap,,
amalj'aa drudge,1,2106542,1065,Amlaj'aa,,ge-gap,,
amalj'aa halberdier,1,2106509,1065,Amlaj'aa,,ge-gap,,
amalj'aa harpooner,3,2162013 2162014 2162015,1620,,"a second Amalj'aa roster, named by office and stronghold rather than by job - the Zahar'ak garrison, its clerical titles and the Burned converts; near-disjoint in naming from race 1065, which holds the rest of the Amalj'aa, but overlapping it in both zone and level",second-roster-filler,,
amalj'aa high divinator,1,2206527,1065,Amlaj'aa,,ge-gap,,
amalj'aa impaler,5,2106510 2106511 2106512 2106513 2106514,1065,Amlaj'aa,,ge-gap,,
amalj'aa marksman,5,2106517 2106518 2106519 2106520 2106521,1065,Amlaj'aa,,ge-gap,,
amalj'aa mesmerizer,1,2106523,1065,Amlaj'aa,,ge-gap,,
amalj'aa pennoncier,1,2206525,1065,Amlaj'aa,,ge-gap,,
amalj'aa pennoncier captain,1,2206526,1065,Amlaj'aa,,ge-gap,,
amalj'aa ranger,3,2162004 2162005 2162006,1620,,"a second Amalj'aa roster, named by office and stronghold rather than by job - the Zahar'ak garrison, its clerical titles and the Burned converts; near-disjoint in naming from race 1065, which holds the rest of the Amalj'aa, but overlapping it in both zone and level",second-roster-filler,,
amalj'aa scout,3,2162022 2162023 2162024,1620,,"a second Amalj'aa roster, named by office and stronghold rather than by job - the Zahar'ak garrison, its clerical titles and the Burned converts; near-disjoint in naming from race 1065, which holds the rest of the Amalj'aa, but overlapping it in both zone and level",second-roster-filler,,
amalj'aa seer,3,2162028 2162029 2162030,1620,,"a second Amalj'aa roster, named by office and stronghold rather than by job - the Zahar'ak garrison, its clerical titles and the Burned converts; near-disjoint in naming from race 1065, which holds the rest of the Amalj'aa, but overlapping it in both zone and level",second-roster-filler,,
amalj'aa warrior,8,2106529 2106530 2106531 2106532 2106533 2106534 2106535 2106536,1065,Amlaj'aa,,ge-gap,,
ambitious alchemist,1,2290048,1900,,"friendly NPCs that take part in combat, not monsters: hamlet militia, Grand Company scouts, story allies and escort targets; the ally side of the same content as 1800",not-a-monster,,
angry lead coblyn,1,2202113,1021,Coblyn,,ge-gap,,
angry mongrel,1,2101410,1014,Wolf/Hyena/Hellhound,,ge-gap,,
antling,9,2103006 2103007 2103008 2103009 2103013 2203004 2203005 2203006,1030,Antling,,race-name-only,,
antling drone,1,2203009,1030,Antling,,ge-gap,,
apostate harrier,1,2180142,1801,,"brigands - footpads, highwaymen, raiders - and most of the lunatic cult, the rest of which is in 1803",faction-filler,,
arbor bee swarm,1,2105304,1053,Swarm,,ge-gap,,
arges,1,2210701,1107,サイクロプス,,named-boss-gap,,
ashkin walker,1,2201805,1018,Zombie,,ge-gap,,
audacious harrier,1,2180134,1801,,"brigands - footpads, highwaymen, raiders - and most of the lunatic cult, the rest of which is in 1803",faction-filler,,
audhumbla,1,2100804,1008,Buffalo,,named-boss-gap,,
babe snatcher,1,2203906,1039,Weevil,,ge-gap,,
bandit archer,8,2180128 2180129 2180169 2180170 2180171 2280139 2280140 2289034,1801,,"brigands - footpads, highwaymen, raiders - and most of the lunatic cult, the rest of which is in 1803",faction-filler,,
bandit bowman,2,2280141 2280142,1801,,"brigands - footpads, highwaymen, raiders - and most of the lunatic cult, the rest of which is in 1803",faction-filler,,
bandit butcher,1,2289031,1890,,"named opponents of scripted fights - job-quest champions, coliseum challengers, Grand Company and bandit duel squads; 93 percent of its GE mobs are notorious monsters against a 12 percent baseline, and it sits past a deliberate gap from the 80x faction run",faction-filler,,
bandit caster,2,2280145 2280146,1801,,"brigands - footpads, highwaymen, raiders - and most of the lunatic cult, the rest of which is in 1803",faction-filler,,
bandit grappler,1,2289033,1890,,"named opponents of scripted fights - job-quest champions, coliseum challengers, Grand Company and bandit duel squads; 93 percent of its GE mobs are notorious monsters against a 12 percent baseline, and it sits past a deliberate gap from the 80x faction run",faction-filler,,
bandit halberdier,1,2180127,1801,,"brigands - footpads, highwaymen, raiders - and most of the lunatic cult, the rest of which is in 1803",faction-filler,,
