class,discipline,arms_or_tools_required,details,source_page
Gladiator,Disciple of War,Gladiator's Arms,"A master of sword and shield, the gladiator is a melee specialist who excels in defense. Though his individual blows do not deal great damage, he is able to deliver them in quick succession, a quality that has earned him a reputation for dependability.",classes-and-jobs
Pugilist,Disciple of War,Pugilist's Arms,"A master of hand-to-hand combat, pugilists harbor the power of the elements within their fists. Making use of MP to imbue his already punishing strikes with the power of fire and earth, the pugilist is a reliable damage-dealer against most any kind of foe.",classes-and-jobs
Marauder,Disciple of War,Marauder's Arms,"Marauders are fearsome frontline combatants whose arsenal of actions enables them to strengthen their offensive and defensive prowess, whichever the situation demands. Charging into battle with a massive axe, the marauder quickly draws the attention of enemies, and turns their attacks against them.",classes-and-jobs
Lancer,Disciple of War,Lancer's Arms,"The lancer is a class that specializes in wielding a variety of long-hafted spears and polearms. They possess a wide range of weaponskill combinations, but have low HP in comparison to other melee classes, and no abilities enabling them to bolster their defense.",classes-and-jobs
Archer,Disciple of War,Archer's Arms,"Archers are gifted at concealing themselves to avoid detection and deftly attacking their enemies at range. They are also capable of enhancing the abilities and strengths of their allies, making them a valuable addition to any party.",classes-and-jobs
Conjurer,Disciple of Magic,Conjurer's Arms Two-Handed Conjurer's Arms,"Conjurers are a casting class known for their specialization in healing and defense-enhancing magic. They also possess some skill with elemental magic, granting them a degree of offensive ability, and can put single targets to sleep, providing a valuable source of control.",classes-and-jobs
Thaumaturge,Disciple of Magic,Thaumaturge's Arms Two-Handed Thaumaturge's Arms,"Thaumaturges are casters who command spells of multiple elements to wreak havoc on their enemies. Their unparalleled devotion to the realm of magic endows them with the largest MP and smallest HP pools among all the classes. Though known for their inherently weak defenses, thaumaturges are feared for the destructive forces they wield.",classes-and-jobs
Carpenter,Disciple of the Hand,Carpenter's Primary Tools,Crafters who work with wood to fashion a range of weapons and armor.,classes-and-jobs
Blacksmith,Disciple of the Hand,Blacksmith's Primary Tools,Crafters who work with metal to forge a variety of weapons and tools.,classes-and-jobs
Armorer,Disciple of the Hand,Armorer's Primary Tools,Crafters who beat metal into tools and protective gear.,classes-and-jobs
Goldsmith,Disciple of the Hand,Goldsmith's Primary Tools,Crafters who work with precious metals and gemstones to fashion accessories and other adornments.,classes-and-jobs
Leatherworker,Disciple of the Hand,Leatherworker's Primary Tools,Crafters who work with animal hide to create armor and other leather goods.,classes-and-jobs
Weaver,Disciple of the Hand,Weaver's Primary Tools,Crafters who weave cloth and textiles into garments.,classes-and-jobs
Alchemist,Disciple of the Hand,Alchemist's Primary Tools,"Crafters who work with myriad materials to fabricate crystals, medicine, and other useful adventuring supplies.",classes-and-jobs
Culinarian,Disciple of the Hand,Culinarian's Primary Tools,Masters of cuisine who can conjure up magnificent banquets out of the humblest ingredients.,classes-and-jobs
Miner,Disciple of the Land,Miner's Primary Tools,Gatherers who mine the earth for minerals.,classes-and-jobs
Botanist,Disciple of the Land,Botanist's Primary Tools,Gatherers who harvest plants and timber from forest and vale.,classes-and-jobs
Fisher,Disciple of the Land,Fisher's Primary Tools,Gatherers who fish the rivers and streams.,classes-and-jobs
