command,aliases,parameters,description,source_page
/say,/s,[mes.],Sends a message to all PCs within a small radius. The message will not be displayed if a PC has their [Say] chat filter turned on. Typing /say or /s without a message switches the default chat mode to [Say].,text-commands-and-macros
/shout,/sh,[mes.],Sends a message to a specific PC within the same World. This message cannot be seen by other PCs. Typing /tell or /t [PC_name] without a message switches the default chat mode to [Tell].,text-commands-and-macros
/tell,/t,[PC_name] [mes.],Sends a message to a specific PC within the same World. This message cannot be seen by any other PCs. Typing /tell or /t [PC_name] without a message switches the default chat mode to [Tell].,text-commands-and-macros
/party,/p,[mes.],"Sends a message to all members of your current party, regardless of their location. Typing /party or /p without a message switches the default chat mode to [Party].",text-commands-and-macros
/linkshell,/l,[mes.],"Sends a message to all members of your active linkshell, regardless of their location. Typing /linkshell or /l without a message switches the default chat mode to [Linkshell].",text-commands-and-macros
/echo,/e,[mes.],Displays a message that only you can see.,text-commands-and-macros
/chatmode,/cm,[chat mode],"Set the default chat mode. >>Example: /chatmode party (Changes default chat mode to party chat.) The default mode will be deactivated after a single message if it is set to Shout. When setting the default mode to Tell, you are still required to enter the recipient PC's name. If no chat mode is specified, the current default setting will be displayed.",text-commands-and-macros
/action,/ac,[action name] [target],"Uses an action on a specified target. This cannot be used with actions you have not yet learned, or when restricted by other factors.",text-commands-and-macros
/recast,,[action name],Displays time remaining until the specified action can be used again.,text-commands-and-macros
/equipaction,/eaction,[slot] [action name],"Equips an action to a specified slot. If an action name is omitted, the action currently equipped to that slot will be removed. Basic class actions cannot be removed. Slots are designated by the numbers 1-30.",text-commands-and-macros
/actionqueue,/aq,[subcommand],Toggle the priority input feature for actions. >> Subcommands : on - Enable priority input. off - Disable priority input. Display whether priority input is enabled or disabled when no subcommand is specified.,text-commands-and-macros
/actioncancel,/acan,[subcommand],Enable cancelling of actions by selecting them again from the action bar while they are being cast or channeled. >> Subcommands : on - Enable cancelling via the action bar. off - Disable cancelling via the action bar. Toggle between on and off when no subcommand is specified.,text-commands-and-macros
/targetmode,/tmode,[subcommand],"Toggle between targeting modes. >> Subcommands : a - Activate targeting mode A. Use up and down to target party members, and left and right to cycle targets based on current target filter. b - Activate targeting mode B. Use up and down to select a target filter, and left and right to cycle targets. c - Activate targeting mode C. Use up and down to target party members, and left and right to cycle all targets.",text-commands-and-macros
/battletargetmode,/btmode,[subcommand],Toggle targeting mode only for enemies that are engaged. >> Subcommands : on - Activate targeting mode. off - Disable targeting mode. Toggle on and off when no subcommand is specified.,text-commands-and-macros
/directtarget,/dtar,[subcommand],"Toggle direct targeting on/off. >> Subcommands : on - Toggle direct targeting on. Press Accept/Confirm to select the nearest target, regardless of target filters. off - Toggle direct targeting off. Toggle between on and off when no subcommand is specified.",text-commands-and-macros
/targetpc,,,Targets the closest PC within a certain radius.,text-commands-and-macros
/targetnpc,,,Targets the closest NPC or enemy within a certain radius.,text-commands-and-macros
/targetenemy,/tenemy,,Target the closest enemy.,text-commands-and-macros
/battletarget,/bt,,Target the nearest engaged enemy.,text-commands-and-macros
/lockon,,,Locks on to a target. Reenter the command to toggle the lock off.,text-commands-and-macros
/autolockon,/autolock,[subcommand],Automatically lock onto targets. >> Subcommands : on - Enable automatic target lock. off - Disable automatic target lock. Toggle between enabled and disabled modes when no subcommand is specified.,text-commands-and-macros
/assist,/as,[player],Targets the target of a PC specified by a <t> or <p#> macro.,text-commands-and-macros
/subtarget,/st,[subcommand],Toggles subtargeting when executing commands directly from the action bar. * Recommended when playing with a gamepad only (no mouse). >> Subcommands : on - Enable subtargeting. off - Disable subtargeting. Toggle between on and off when no subcommand is specified.,text-commands-and-macros
/facetarget,/ft,,"When executed, the character will immediately turn to face the main target. If the character is in motion, the character will come to an immediate halt.",text-commands-and-macros
/equip,,[slot] [item name],"Equips an item to a specified slot. If an item name is omitted, the item currently equipped to that slot will be unequipped. >>Gear Slots: main, sub, throwing, pack, pouch, head, body, shirt, legs, garment, hands, feet, waist, neck, ears, wrists, R.finger, L.finger.",text-commands-and-macros
/display,,[slot] [subcommand],"Toggle the display of gear in the head or main hand slots. >> Gear Slots : main (valid in passive mode only), head >> Subcommands : on - Show the item equipped in the designated slot. off - Hide the item equipped in the designated slot.",text-commands-and-macros
/job,,[subcommand],Toggle the job associated with your current class. >> Subcommands : on - Activate the associated job. off - Deactivate the associated job. Toggle between on and off when no subcommand is specified.,text-commands-and-macros
/partycmd,/pcmd,[subcommand],Executes various party commands. >> Subcommands : add [name] - Invite targeted PC to your party. leave - Leave your current party. kick [name] - Oust a PC from your party. breakup - Dissolve your current party.,text-commands-and-macros
/join,,,Accepts a party invite.,text-commands-and-macros
/decline,,,Declines a party invite.,text-commands-and-macros
/actionbar,/abar,[subcommand],Toggle action bar display method. >> Subcommands : on - Always display action bar. off - Display bar only when executing a command. Toggle between on and off when no subcommand is specified.,text-commands-and-macros
/actionbarhelp,/abarhelp,[subcommand],Display pop-up help text for action bars. >> Subcommands : on - Display help text. off - Hide help text. Toggle between on and off when no subcommand is specified.,text-commands-and-macros
/targetcursor,/tcursor,[subcommand],Set the default position of the target cursor. >> Subcommands : a - Set to central. b - Set to floating. c - Set to both central and floating.,text-commands-and-macros
/names,,[subcommand],Turns all name displays on/off. >> Subcommands : on - Turn names on. off - Turn names off. Toggle on and off when no subcommand is specified.,text-commands-and-macros
/enemylevel,/elevel,[subcommand],Display levels below enemies' names. >> Subcommands : on - Display enemy levels. off - Hide enemy levels. Toggle between on and off when no subcommand is specified.,text-commands-and-macros
/enemyicon,/eicon,[subcommand],Display active and non-active icons for enemies. >> Subcommands : on - Display active (red) and non-active (green) icons. off - Hide active (red) and non-active (green) icons. Toggle between on and off when no subcommand is specified.,text-commands-and-macros
/enmity,/enm,[subcommand],Display enemy enmity icons. >> Subcommands : on - Display enmity icons next to enemies' HP bars. off - Hide enmity icons. Toggle between on and off when no subcommand is specified.,text-commands-and-macros
/away,,[subcommand],Changes your online status to Away. >> Subcommands : on - Display Away icon. off - Hide Away Icon Toggle between on and off when no subcommand is specified.,text-commands-and-macros
/countdown,/count,[value],"Initiate a countdown in seconds, starting at the designated value (up to 20 seconds). Countdown length is 5 seconds when no value is specified. * Words and numbers displayed will not appear in screenshots.",text-commands-and-macros
/loot,,,Opens your Loot List.,text-commands-and-macros
/friendlist,/flist,,Opens your Friend List.,text-commands-and-macros
/blacklist,/blist,,Displays your blacklist.,text-commands-and-macros
/map,,,Opens the current area map.,text-commands-and-macros
/supportdesk,/helpdesk,,Opens the Help Desk menu.,text-commands-and-macros
/logout,,,Begins the logout process.,text-commands-and-macros
/shutdown,,,Log out and exit the game.,text-commands-and-macros
/shadow,,[subcommand],Toggle the display of character shadows. >> Subcommands : on - Enable character shadows. off - Disable character shadows. Toggle between enabled and disabled modes when no subcommand is specified.,text-commands-and-macros
/dusteffect,/dust,[subcommand],Toggle the display of graphic effects left by characters feet. >> Subcommands : on - Enable effects made by feet. off - Disable effects made by feet. Toggle between enabled and disabled modes when no subcommand is specified.,text-commands-and-macros
/physics,,[subcommand],Toggle realistic physics effects. >> Subcommands : on - Enable realistic physics effects. off - Disable realistic physics effects. Toggle between enabled and disabled modes when no subcommand is specified.,text-commands-and-macros
/profanity,,[subcommand],Toggle the profane language filter. >> Subcommands : on - Enable the language filter. off - Disable the language filter. Toggle between enabling and disabling modes when no subcommand is specified.,text-commands-and-macros
/scrollingbattletext,/sbt,[subcommand],Toggle the display of damage and other combat information. >> Subcommands : on - Enable graphic combat text. off - Disable graphic combat text. Toggle between enabled and disabled modes when no subcommand is specified.,text-commands-and-macros
/extendeddraw,/edraw,[subcommand],Extend the range at which graphics are drawn. >> Subcommands : on - Enable extended drawing. off - Disable extended drawing. Toggle between enabled and disabled modes when no subcommand is specified.,text-commands-and-macros
/textclear,/tc,[number 1-2] [subcommand],Toggle the text auto-hide feature for the designated log window (1 or 2). Text will be hidden after 60 seconds. >> Subcommands : on - Turn on the log text hide feature. off - Turn off the log text hide feature. Toggle between on and off when no subcommand is specified.,text-commands-and-macros
/camera,/cam,[subcommand],Set the current camera position as default when no subcommand is specified. >> Subcommands : reset - Reset position to system default.,text-commands-and-macros
/uilock,,[subcommand],Prevents movement or resizing of UI elements. >> Subcommands : on - Lock the position and size of all UI elements. off - Unlock the position and size of all UI elements. Toggle between on and off when no subcommand is specified.,text-commands-and-macros
/macrobar,/mbar,[subcommand],Toggle the continuous display of the macro bar. >> Subcommands : on - Display or hide the macro bar with a single press of Ctrl or Alt . off - Display the macro bar by holding down Ctrl or Alt . Toggle between on and off when no subcommand is specified.,text-commands-and-macros
/uihelp,,[subcommand],Display pop-up help text for each UI element. >> Subcommands : on - Display help text. off - Hide help text. Toggle between on and off when no subcommand is specified.,text-commands-and-macros
/search,/who,"Search condition 1 search condition 2, etc.","Search for players using the designated conditions. Results are displayed in the player search interface. >> Subcommands The following conditions can be applied to filter the search. Refer to this separate table for more details. Status Class Level Job Grand Company Affiliation Area Language * Subcommands for the /search (/who) text command can be input directly in the language selected in the FINAL FANTASY XIV Config. Searches can also be made using words found in the auto-translate dictionary. For more details on language settings in FINAL FANTASY Config, please refer to Settings .",text-commands-and-macros
/?,,/[command_name],"Gives a detailed explanation of specified command. Abbreviations can be used. If a command name is incomplete or does not exist, similar commands will be listed. * All names used with these commands must be one word or in quotation marks.",text-commands-and-macros
/wait,,[wait time],"A macro command for adjusting the pause between commands. A wait time amount of 1 equals one second. The maximum wait time allowed is 60. If the wait time amount is over 60, it will be counted as 0.",text-commands-and-macros
