content_class,content_class_en,instance_jp,operation_jp,variant,client_raid_id,client_raid_en,location_zone_jp,location_zone_en,location_coords,area_jp,area_en,level_restriction,party_limit,time_limit,rechallenge,prereq_condition,unlock_quest_jp,beastmen_jp,beastmen_en,reference,source
raid,instanced-raid,オーラムヴェイル,オーラムヴェイル霧中行軍,-,6,Aurum Vale,クルザス,Coerthas,"X: 33, Y: 35",オーラムヴェイル,The Aurum Vale,ファイターもしくはソーサラー レベル45以上,4～8人PT限定,60分,15分（討伐成功） / 5分（討伐失敗）,クエスト「ゼーメル要塞」を達成していること,黄金の谷「オーラムヴェイル」,,,,elemen-raid
raid,instanced-raid,カッターズクライ,カッターズクライ流砂迷宮,-,7,Cutter's Cry,ザナラーン,Thanalan,"X: 27, Y: 13",カッターズクライ,Cutter's Cry,ファイターもしくはソーサラー レベル45以上,4～8人PT限定,60分,15分（討伐成功） / 5分（討伐失敗）,,流砂の迷宮「カッターズクライ」,,,新たなインスタンスレイドについて (2012/03/07),elemen-raid
raid,instanced-raid,トトラクの千獄,トトラク威力偵察指令,-,1,the Thousand Maws of Toto[@1F]Rak,黒衣森,The Black Shroud,"X: 39, Y: 44",トトラクの千獄,The Thousand Maws of Toto[@1F]Rak,ファイターもしくはソーサラー レベル25以上,2～4人PT限定（パッチ1.19で人数制限が変更）,60分,15分（開始時間からカウント）（パッチ1.22a HotFixesで再挑戦時間が変更）,,トトラクの千獄 （リムサ・ロミンサ） トトラクの千獄 （グリダニア） トトラクの千獄 （ウルダハ）,,,レイドダンジョンについて (2011/06/20),elemen-raid
raid,instanced-raid,ゼーメル要塞,ゼーメル要塞奪還作戦,-,2,Dzemael Darkhold,クルザス,Coerthas,"X: 36, Y: 25",ゼーメル要塞,Dzemael Darkhold,ファイターもしくはソーサラー レベル45以上,4～8人PT限定（パッチ1.19で人数制限が変更）,60分,5分（開始時間からカウント）,,ゼーメル要塞 （リムサ・ロミンサ） ゼーメル要塞 （グリダニア） ゼーメル要塞 （ウルダハ）,,,レイドダンジョンについて (2011/06/20),elemen-raid
primal,primal-battle,嵐神ガルーダ,ガルーダ討伐戦,normal,12,the Howling Eye,,,,ハウリングアイ石塔群,The Howling Eye,ファイターもしくはソーサラー レベル40以上,4～8人PT限定,30分,15分（討伐成功） / 5分（討伐失敗）,クエスト「開かれた血路」「心をひとつに」「決断の狼煙」のいずれかを達成していること,盟主ルイゾワの導き （リムサ・ロミンサ） 盟主ルイゾワの導き （グリダニア） 盟主ルイゾワの導き （ウルダハ）,,,ガルーダ討伐戦／真ガルーダ討滅戦について (2012/04/24),elemen-primal
primal,primal-battle,嵐神ガルーダ,真ガルーダ討滅戦,hard,11,the Howling Eye (Hard),,,,ハウリングアイ石塔群,The Howling Eye,ファイターもしくはソーサラー レベル45以上,8人PT限定,30分,15分（討伐成功） / 5分（討伐失敗）,クエスト「盟主ルイゾワの導き」を達成していること,旋風の試練,,,ガルーダ討伐戦／真ガルーダ討滅戦について (2012/04/24),elemen-primal
primal,primal-battle,善王モグル・モグXII世,善王モグル・モグXII世 討滅戦,-,5,Thornmarch,,,,茨の園,Thornmarch,ファイターもしくはソーサラー レベル45以上,8人PT限定,30分,15分（討伐成功） / 5分（討伐失敗）,クエスト「盟主ルイゾワの秘策」を達成していること,道化の饗宴,,,善王モグル・モグXII世 討滅戦について (2011/12/12),elemen-primal
primal,primal-battle,蛮神イフリート,イフリート討伐戦,normal,4,the Bowl of Embers,,,,炎帝祭跡,The Bowl of Embers,ファイターもしくはソーサラー レベル25以上,4人PT限定,30分,15分（討伐成功） / 5分（討伐失敗）,グランドカンパニーに正式配属されていること,盟主ルイゾワの秘策 （リムサ・ロミンサ） 盟主ルイゾワの秘策 （グリダニア） 盟主ルイゾワの秘策 （ウルダハ）,,,イフリート討伐戦／真イフリート討滅戦について (2011/10/04),elemen-primal
primal,primal-battle,蛮神イフリート,真イフリート討滅戦,hard,3,the Bowl of Embers (Hard),,,,炎帝祭跡,The Bowl of Embers,ファイターもしくはソーサラー レベル45以上,8人PT限定,30分,15分（討伐成功） / 5分（討伐失敗）,クエスト「盟主ルイゾワの秘策」を達成していること,業火の試練,,,イフリート討伐戦／真イフリート討滅戦について (2011/10/04),elemen-primal
primal,primal-battle,蛮神イフリート,極イフリート討滅戦,-,14,the Bowl of Embers (Extreme),,,,炎帝祭跡,The Bowl of Embers,ファイターもしくはソーサラー レベル50以上,8人PT限定,30分,15分（討伐成功） / 5分（討伐失敗）,,蘇る古の武器,,,,elemen-primal
stronghold,stronghold-field,カストルム・ノヴム,カストルム・ノヴム,-,,,モードゥナ,Mor Dhona,"X: 6, Y: 12",,,,,,,,,,,,elemen-stronghold
stronghold,stronghold-field,シュポシェの霊窟,シュポシェの霊窟,-,,,ラノシア,La Noscea,"X: 28, Y: 33",,,レベル15の4～8人PT向け,,,,霊窟にて待つ試練,,,,,elemen-stronghold
stronghold,stronghold-field,ウ・ガマロ武装鉱山,ウ・ガマロ武装鉱山,-,,,ラノシア,La Noscea,"X: 29, Y: 2",,,レベル45以上の8人PT向け,,,,地底の秘境,,コボルド,Kobold,,elemen-stronghold
stronghold,stronghold-field,ナタラン入植地,ナタラン入植地,-,,,クルザス,Coerthas,"X: 42, Y: 19",,,レベル45以上の8人PT向け,,,,烈風の要塞,,イクサル,Ixal,,elemen-stronghold
stronghold,stronghold-field,ザハラク戦陣,ザハラク戦陣,-,,,ザナラーン,Thanalan,"X: 48, Y: 40",,,レベル45以上の8人PT向け,,,,灼熱の聖域,,アマルジャ,Amlaj'aa,,elemen-stronghold
