claim_id,action,claim,value,value_qualifier,unit,scope,patch,patch_basis,source_key,source_locator,author,post_date,last_edited_date,evidence_grade,verdict,conflict
stoneskin-formula-limit,Stoneskin,exact formula,unknown,insufficient sample size,,author statement,1.22c,source-version-marker,se-forum-41900,post-1-specific-mechanics-stoneskin,Sol_Aureus,2012-04-05,2012-06-26,CALIBRATION,source-claim-only,
stoneskin-observed-range,Stoneskin,personally confirmed potency range,396-449,observed range,enhancing magic potency,author equipment range,1.22c,source-version-marker,se-forum-41900,post-1-specific-mechanics-stoneskin,Sol_Aureus,2012-04-05,2012-06-26,CALIBRATION,source-claim-only,"values outside the range are described as projections"
stoneskin-input,Stoneskin,stated modifying input,Enhancing Magic Potency,only stated factor,,general,1.22c,source-version-marker,se-forum-41900,post-1-specific-mechanics-stoneskin,Sol_Aureus,2012-04-05,2012-06-26,CALIBRATION,source-claim-only,
stoneskin-sample,Stoneskin,displayed comparison at 398 potency,534 vs 780,printed order preserved,damage mitigated,"BRD and WHM assignment unresolved",1.22c,source-version-marker,se-forum-41900,post-1-specific-mechanics-stoneskin,Sol_Aureus,2012-04-05,2012-06-26,CALIBRATION,source-claim-only,"the displayed text does not unambiguously assign each value"
stoneskin-step,Stoneskin,mitigation increase per potency,1 or 2,usually 2,damage mitigated per potency,"trend only; every 25 levels is described as a possible 1 rather than 2",1.22c,source-version-marker,se-forum-41900,post-1-specific-mechanics-stoneskin,Sol_Aureus,2012-04-05,2012-06-26,CALIBRATION,source-claim-only,"the author does not trust the trend as a constant rule"
protect-defense-step,Protect,enhancing potency points per one defense,"5-4-5-4-5-4-5-4-5",repeating sequence,input potency points per defense,"slight fluctuation stated; adjacent cycles produce 5-5 at the boundary",1.22c,source-version-marker,se-forum-41900,post-1-specific-mechanics-protect,Sol_Aureus,2012-04-05,2012-06-26,CALIBRATION,source-claim-only,
protect-resistance-step,Protect,enhancing potency points per one all-element resistance,7-6-7,repeating sequence,input potency points per resistance,all elemental resistances,1.22c,source-version-marker,se-forum-41900,post-1-specific-mechanics-protect,Sol_Aureus,2012-04-05,2012-06-26,CALIBRATION,source-claim-only,
regen-input,Regen,stated modifying input,Enhancing Magic Potency,only stated factor,,general,1.22c,source-version-marker,se-forum-41900,post-1-specific-mechanics-regen,Sol_Aureus,2012-04-05,2012-06-26,CALIBRATION,source-claim-only,
regen-base-step,Regen,HP per tic increase by potency step,"1-2-2-1-2 repeated 3 times; then 1-2-1-2-2 repeated 3 times",repeating sequence,HP per tic,without AF Boots,1.22c,source-version-marker,se-forum-41900,post-1-specific-mechanics-regen,Sol_Aureus,2012-04-05,2012-06-26,CALIBRATION,source-claim-only,
regen-boots-bonus,Regen,additional effect from AF Boots,up to 41,stated maximum,HP per tic,"scales with enhancing potency",1.22c,source-version-marker,se-forum-41900,post-1-specific-mechanics-regen,Sol_Aureus,2012-04-05,2012-06-26,CALIBRATION,source-claim-only,"AF Boots is not independently bound to an item identifier"
regen-boots-step,Regen,HP per tic increase by potency step with AF Boots,1-1-2-1-1-1-2-1-1-2-1-1-1-2-1-1-1-2,repeating sequence,HP per tic,with AF Boots,1.22c,source-version-marker,se-forum-41900,post-1-specific-mechanics-regen,Sol_Aureus,2012-04-05,2012-06-26,CALIBRATION,source-claim-only,
regen-cap,Regen,stated level 50 cap,203,stated cap,HP per tic,"438 enhancing potency with AF Boots",1.22c,source-version-marker,se-forum-41900,post-1-specific-mechanics-regen,Sol_Aureus,2012-04-05,2012-06-26,CALIBRATION,source-claim-only,
regen-equipment-list,Regen,equipment listed in feet slot,Healer's Boots,adjacent equipment list,,feet,1.22c,source-version-marker,se-forum-41900,post-1-equipment-feet,Sol_Aureus,2012-04-05,2012-06-26,CALIBRATION,source-claim-only,"the source does not explicitly equate the listed item name with the AF Boots label"
