column_index,client_type,distinct_values,field_name,confidence,evidence,note,top_values
0,s32,66,grade_1_item_id,high,resolves in xtx_itemName,the item id of grade I of this materia line,0(1) 10100001(1) 10100005(1) 10100009(1)
1,s32,66,grade_2_item_id,high,resolves in xtx_itemName,the item id of grade II of this materia line,0(1) 10100002(1) 10100006(1) 10100010(1)
2,s32,66,grade_3_item_id,high,resolves in xtx_itemName,the item id of grade III of this materia line,0(1) 10100003(1) 10100007(1) 10100011(1)
3,s32,66,grade_4_item_id,high,resolves in xtx_itemName,the item id of grade IV of this materia line,0(1) 10100004(1) 10100008(1) 10100012(1)
4,s32,54,primary_param_id,high,resolves in xtx_text_paramName,"the stat this materia grants, in the 15xxx namespace",15004(3) 15007(3) -1(2) 15001(2)
5,s16,7,primary_grade_1_rank_1,high,GE materia_effect,magnitude of the primary stat; 0 marks a rank the line does not use,1(48) 2(9) 10(4) 0(2)
6,s16,10,primary_grade_1_rank_2,high,GE materia_effect,magnitude of the primary stat; 0 marks a rank the line does not use,2(29) 0(16) 4(9) 3(4)
7,s16,9,primary_grade_1_rank_3,high,GE materia_effect,magnitude of the primary stat; 0 marks a rank the line does not use,0(23) 3(22) 6(9) 7(4)
8,s16,9,primary_grade_1_rank_4,high,GE materia_effect,magnitude of the primary stat; 0 marks a rank the line does not use,0(26) 8(9) 3(7) 10(6)
9,s16,11,primary_grade_2_rank_1,high,GE materia_effect,magnitude of the primary stat; 0 marks a rank the line does not use,4(17) 2(15) 9(9) 6(6)
10,s16,12,primary_grade_2_rank_2,high,GE materia_effect,magnitude of the primary stat; 0 marks a rank the line does not use,0(17) 5(17) 10(9) 7(6)
11,s16,13,primary_grade_2_rank_3,high,GE materia_effect,magnitude of the primary stat; 0 marks a rank the line does not use,0(23) 6(10) 11(9) 8(6)
12,s16,12,primary_grade_2_rank_4,high,GE materia_effect,magnitude of the primary stat; 0 marks a rank the line does not use,0(18) 3(9) 12(9) 6(7)
13,s16,15,primary_grade_3_rank_1,high,GE materia_effect,magnitude of the primary stat; 0 marks a rank the line does not use,7(16) 11(9) 4(9) 13(6)
14,s16,14,primary_grade_3_rank_2,high,GE materia_effect,magnitude of the primary stat; 0 marks a rank the line does not use,8(16) 12(9) 5(9) 0(8)
15,s16,13,primary_grade_3_rank_3,high,GE materia_effect,magnitude of the primary stat; 0 marks a rank the line does not use,0(18) 9(16) 13(9) 17(6)
16,s16,13,primary_grade_3_rank_4,high,GE materia_effect,magnitude of the primary stat; 0 marks a rank the line does not use,10(17) 20(10) 15(9) 6(9)
17,s16,15,primary_grade_4_rank_1,high,GE materia_effect,magnitude of the primary stat; 0 marks a rank the line does not use,11(17) 16(9) 7(9) 22(6)
18,s16,14,primary_grade_4_rank_2,high,GE materia_effect,magnitude of the primary stat; 0 marks a rank the line does not use,12(17) 17(9) 8(9) 0(8)
19,s16,14,primary_grade_4_rank_3,high,GE materia_effect,magnitude of the primary stat; 0 marks a rank the line does not use,13(17) 18(9) 9(9) 0(8)
20,s16,12,primary_grade_4_rank_4,high,GE materia_effect,magnitude of the primary stat; 0 marks a rank the line does not use,15(17) 20(10) 10(9) 30(7)
21,s32,8,second_param_id,high,resolves in xtx_text_paramName,"second stat on dual materia, -1 on single-stat lines",-1(55) 15002(3) 15006(2) 15009(2)
22,s16,3,second_grade_1_rank_1,high,GE materia_effect,magnitude of the second stat; all 0 when 21 is -1,0(55) 1(8) 5(3)
23,s16,4,second_grade_1_rank_2,high,GE materia_effect,magnitude of the second stat; all 0 when 21 is -1,0(61) 7(3) 3(1) 2(1)
24,s16,4,second_grade_1_rank_3,high,GE materia_effect,magnitude of the second stat; all 0 when 21 is -1,0(61) 8(3) 7(1) 3(1)
25,s16,3,second_grade_1_rank_4,high,GE materia_effect,magnitude of the second stat; all 0 when 21 is -1,0(61) 10(4) 4(1)
26,s16,4,second_grade_2_rank_1,high,GE materia_effect,magnitude of the second stat; all 0 when 21 is -1,0(55) 2(6) 11(4) 5(1)
27,s16,4,second_grade_2_rank_2,high,GE materia_effect,magnitude of the second stat; all 0 when 21 is -1,0(62) 11(2) 12(1) 6(1)
28,s16,4,second_grade_2_rank_3,high,GE materia_effect,magnitude of the second stat; all 0 when 21 is -1,0(61) 12(3) 13(1) 7(1)
29,s16,5,second_grade_2_rank_4,high,GE materia_effect,magnitude of the second stat; all 0 when 21 is -1,0(55) 3(6) 12(3) 15(1)
30,s16,5,second_grade_3_rank_1,high,GE materia_effect,magnitude of the second stat; all 0 when 21 is -1,0(55) 4(6) 14(3) 16(1)
31,s16,5,second_grade_3_rank_2,high,GE materia_effect,magnitude of the second stat; all 0 when 21 is -1,0(55) 5(6) 14(3) 17(1)
32,s16,4,second_grade_3_rank_3,high,GE materia_effect,magnitude of the second stat; all 0 when 21 is -1,0(62) 14(2) 18(1) 11(1)
33,s16,5,second_grade_3_rank_4,high,GE materia_effect,magnitude of the second stat; all 0 when 21 is -1,0(55) 6(6) 15(3) 20(1)
